Building_number,Building_name,Year_built,Building_adress,Square_feet,Floors,Building_elevation,Property_type,Electricity_in_kWh,Chilled_water_ton_hr,Steam_in_klb,Natural_gas_in_therms,EUI_in_mmbtu_per_sqft
640B,Grounds Shop 427 Maintenance Barn,2005,740 HibbardDr #Shop 427,1100,1,459.64,SHOP SPACE,53043,283114,,,0.51
651,Facilities Construction Shops,2005,975 FacilitiesDr,19501,2,468.66,SHOP SPACE,316786,41116,,12166,0.14
75,Grounds Maintenance Shop,1970,105 DanielsRd,6652,1,498.07,SHOP SPACE,145399,,,2544,0.1
182,Cheek Clark Bldg,1925,601 W CameronAve,34112,2,498.58,SHOP SPACE,336019,53305,,17819,0.1
74,Physical Plant Maintenance Shop,1968,103 DanielsRd,2840,1,0,SHOP SPACE,21344,,,1214,0.07
169,Service Station,1962,109 AirportDr,6848,1,479.57,SHOP SPACE,17842,,,3985,0.07
161,Abernethy Annex,1930,133 S ColumbiaSt,240,1,518.9,SHOP SPACE,385,,,,0.01
85,"Gillings Dramatic Arts, Center for",1998,120 Country ClubRd,56636,3,504.22,THEATRE/PRFMNC,400179,1024105,,,0.24
431,Forest Theater,1919,300 S BoundarySt,1209,1,492.48,THEATRE/PRFMNC,12323,,,,0.03
141,Manning Substation,1973,235 William BlytheDr,8803,2,437.55,UT DISTRIB,86852,,,,0.03
585,Finley Pump House,2006,501 Finley Golf CourseRd #Pump,944,1,289.71,WAREHSE/STORAG,76684,,,,0.28
488,Hazardous Material Facility,1983,1085 FacilitiesDr,1696,1,479.35,WAREHSE/STORAG,33134,,,3497,0.27
582,Storage Facility - DEHS,2000,1002  EstesDr,5476,1,479.35,WAREHSE/STORAG,40654,,,2082,0.14
458,Surplus Property Warehouse,1976,1065 FacilitiesDr,9184,1,477.5,WAREHSE/STORAG,68550,,,3013,0.06
650,Liquid Waste Storage Facility,2006,1075 FacilitiesDr,1413,1,479.35,WAREHSE/STORAG,,,,547,0.04
166,General Storeroom,1962,111 AirportDr,97101,1,479.52,WAREHSE/STORAG,544731,,,,0.02
174,Finley Storage B,1945,510B Finley Golf CourseRd,5619,1,262.13,WAREHSE/STORAG,10906,,,,0.01
